店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500742,辽宁书林文化传播有限公司,0,0,0,0,0,0,0,9.8,91.98,47.6,53.9,31.5,14.7,15.54,8.4,9.8,1.4,8.4,9.1,4.2,0,2.8,0,7,0,0,1.4,0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500731,陕西奔跑加文化传播有限公司,0,0,0,0,5971.7,16459.1,2217.04,1651.02,1540.56,1910.44,1850.24,2689.12,4333.7,4235.56,5080.53,4568.67,5322.71,4379.82,618.98,696.97,888.44,1379.42,1359.01,1381.94,1781.5,1197.41,1384.6,2429.7,2121.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500741,河南省雅润天宏文化传媒有限公司,0,0,0,0,28,572.6,28,21,24.5,10.5,3.5,30.1,17.5,10.5,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500738,山西三重图书有限公司,0,0,0,0,0,288.68,50.4,63,57.4,262.78,280.98,37.8,0,12.6,6.3,0,37.8,44.1,6.3,12.6,37.8,132.3,18.9,37.8,6.3,0,12.6,12.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500726,湖南老唐说题教育咨询有限公司,0,0,0,2959.5,3411.49,1265.58,1199.87,1604.82,1388.24,898.52,1819.86,590.94,1320.2,1626.03,650.24,555.76,345.59,198.38,224.11,96.32,212.24,228.69,395.57,306.04,3692.07,144.62,150.5,99.68,227.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500717,山东甘一文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500724,陕西智优文化传媒有限公司,0,0,22.4,899.22,1042.72,2468.34,512.12,752.08,427.28,615.72,467.6,2030.56,1625.68,750.61,958.44,1070.3,665.14,1597.96,606.55,584.83,496.84,248.78,250.99,439.04,685.59,72.38,267.12,148.4,161.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800053,大连理工大学出版社有限公司,0,0,0,4375.14,1623.16,410.2,33.6,61.6,19.6,45.5,59.5,110.6,87.5,49.98,19.6,17.5,0,0,30.8,0,0,3.5,0,0,0,0,0,31.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500722,江苏华阅万卷教育科技有限公司,0,0,457.1,3885.1,586.74,11918.84,139.58,128.24,336.14,328.16,278.18,280.7,72.52,90.65,176.96,158.97,5813.22,160.58,38.5,99.4,205.1,89.88,50.54,83.09,83.02,32.48,60.06,55.44,56.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500698,武汉智云优鸿科技有限公司,0,0,775.81,727.02,721.56,507.01,1127.14,486.64,647.99,380.31,315.14,204.33,205.66,116.9,105.38,71.92,49.28,93.1,77.8,57.43,111.26,56.94,81.44,95.34,46.83,121.87,17.85,19.67,23.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500709,山东普高文化教育有限公司,0,91,279.3,2015.02,275.8,47.6,53.2,28,1999.2,2269.82,470.96,193.9,42.56,94.16,17.85,46.73,154,11.2,29.4,33.6,59.5,28.28,5.6,55.3,21.6,11.2,0,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500696,山东面向未来图书销售有限公司,22.4,799.54,2201.36,3884.86,4106.62,10077.89,3700.01,1947.38,3210.83,5100.23,4284.17,12203.19,6231.16,1830.54,3466.36,6697.35,8829.1,21107.48,4214.7,2159.5,2492.68,1920.99,3414.48,11119.09,13819.71,910.28,1319.65,2154.69,3185.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
